Linksys ATA x4,75.52,
Ceeco SSW-321-F armored phone x5,165.2,
Ceeco SSP-361-F panel phone ,150,
Payphone form factor coinless phone ,71.98,
Two walmart android phones ,24.8,
Three wallmount enclosures ,100,
Pedestal with shell ,50,
Two protel batteries ,9.9,
Western payphone lock ,10.75,
refurb payphone ,200,
3 refurb payphones ,661.55,-- XXX possible refund in progress
payphone board ,49.95,
"payphone board, 3 handsets",129.4,
elcotel keypad/hookswitch ,19.95,
10 unlocked BasicTalk ATAs ,43.45,
4 payphone locks ,26,
payphone lock ,19.5,
payphone lock ,12.75,
payphone lock ,5,
used desk phones ,4.99,
used desk phones ,24.97,
misc hardware ,2.79,
mrpayphone misc payphone parts and hardware ,116.29,
misc hardware ,53.89,
Two small pedestals and enclosures ,300,
Two payphones ,350,
Linksys DD-WRT router x2,50,
"Hardware, supplies",31.95,
"Electrical,  telecommunications hardware, supplies",10,  
Sign materials ,11.85,
"Mounting hardware, tools",181.45,
Wall enclosure ,33,
Payphone ,162.55,
Payphone locks ,53.7,
,,3213.13
Service providers,,
DigitalOcean Jan 1 ,17.05,
DigitalOcean Feb 1 ,14.5,
DigitalOcean Mar 1 ,14.92,
DigitalOcean Apr 1 ,11.9,
DigitalOcean May 1 ,12.6,
DigitalOcean Jun 1 ,13.71,
DigitalOcean Jul 1 ,13.79,
DigitalOcean Aug 1 ,10,
DigitalOcean Sep 1 ,11.76,
DigitalOcean Oct 1 ,11.61,
voip.ms Jan 17 ,50,
voip.ms Mar 22 ,50,
voip.ms Apr 25 ,50,
voip.ms Jun 4 ,50,
voip.ms Jul 4 ,50,
voip.ms Aug 21 ,50,
callcentric Mar 29 ,20,
callcentric Jun 16 ,20,
callcentric Aug 28 ,50,
Namecheap.com domain name service Sep 17 ,13.06,
Namecheap.com domain name service Sep 19 ,2.88,
,,537.78
Other,,
Stickers Diesel Fuel Prints ,116.58,
Flyer printing IPRC ,7,
Zine printing IPRC Mar 2 ,3.5,
Zine printing IPRC Mar 3 ,5.18,
Zine printing IPRC Mar 4 ,14,
Zine printing IPRC Mar 6 ,14,
Zine printing IPRC Apr 6 ,42,
Zine printing IPRC Jul 1 ,37.2,
Zine printing IPRC Jun 29 ,37.2,
B-Line sign printing ,175,
Seth Nehil grant writing ,400,
Postage ,2.72,
Postage ,7.52,
plastic phone display parts Jun 1 ,16,
Umbrella cut of 1K donation ,100,
,,977.9
,,
,4728.81,
