name,Latitude,Longitude,Address,description
north side of NE Ainsworth west of NE 8th-9th alley,45.566,-122.657,,
north side of NE Killingsworth east of 13th Ave,45.562,-122.652,,
NE 8th Ave south of Prescott; west side of street,45.554,-122.657,,
Upright Brewing,45.534,-122.667,,
Right 2 Dream Too (not public),45.53,-122.668,,
north side of SE Taylor east of 23rd Ave,45.515,-122.641,,
N Central between Tyler and Allegheny; east side of street,45.59,-122.746,,
Sou’wester Lodge,46.329,-124.057,,
south side of Pearl west of Washington,42.242,-83.613,,
23rd just south of Breckenridge,42.342,-83.097,,
N Saratoga west of N Denver; north side of street,45.572,-122.687,,
SE Cesar Chavez south of Steele; east side of street,45.484,-122.623,,
Hygiene Station (not public) at Social Justice Action Center,45.520,-122.654,,
SE Bush west of 21st; south side of street,45.496, -122.645,,
